;Go_score;Player_Load;cardioWorkload;date;exercises;giorni_dopo_game;giorni_prima_game;intensity;kinematicWorkload;mechanicalWorkload;metabolicWorkload;perceivedWorkload;playerName;rpe;workload;giorno;mese;Go_score+1
88;;341.9873;0.0;2017-09-08;['Game-11v11 with se', 'Passing-drill dami', 'Session', '11v1'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;4.0;0.0;8;9;
89;;188.0185;0.0;2017-09-09;['Warm-up', '10v11', 'Session'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;3.0;0.0;9;9;
92;;319.3354;0.0;2017-09-12;['Warm-up', 'Set-pieces', 'Session', 'Finalizations'];-2.0;-2.0;0.0;0.0;0.0;0.0;0.0;Player1;3.0;0.0;12;9;
93;;325.9602;0.0;2017-09-13;['5v7-plus 1 per 2', 'Boxes-6v2', '5v5-plus 3 per 2 2', 'Session', '5v5-plus 3 per 2 1', 'Int-run 20 40 1', 'Int-run 20 40 3', 'Int-run 20 40 2'];-2.0;-2.0;58.6;50.2;100.6;49.5;33.3;Player1;3.0;3.2;13;9;
94;;414.7704;0.0;2017-09-14;['11v1', 'Damiano-2 version', 'Session', 'Game-11v11'];-2.0;-2.0;56.8;49.5;95.5;45.4;48.1;Player1;4.0;3.2;14;9;
95;;275.4134;0.0;2017-09-15;['Set-pieces', '10v11', 'Warm-up', 'Session'];-2.0;-2.0;49.8;22.9;64.1;23.9;21.1;Player1;2.0;1.9;15;9;
98;;240.7946;0.0;2017-09-18;['10v11', 'Session', 'Warm-up'];-2.0;-2.0;49.0;33.1;89.5;33.7;31.8;Player1;3.0;2.7;18;9;
99;;101.8996;0.0;2017-09-19;['Session'];-2.0;-2.0;104.6;20.3;19.8;15.6;35.7;Player1;4.0;1.2;19;9;
101;;245.7811;0.0;2017-09-21;['Set-pieces', 'Warm-up', 'Session', '10v11'];-2.0;-2.0;64.0;35.5;68.6;31.2;40.9;Player1;4.0;2.3;21;9;
104;4.4;226.0322;0.0;2017-09-24;['Session', 'Def-line 3v3 4v6 5v8', 'Warm-up'];-2.0;-2.0;50.7;21.9;63.9;25.6;51.6;Player1;5.0;2.2;24;9;4.4
