,splitName,playerName,workload,perceivedWorkload,metabolicWorkload,mechanicalWorkload,kinematicWorkload,cardioWorkload
899,Second-intermitten,Player14,0.8,0.0,16.8,0.0,0.0,0
900,First-intermittent,Player14,1.0,0.0,18.2,0.0,20.7,0
901,Second-game 9vs9,Player14,0.4,0.0,9.3,10.1,7.1,0
902,Third-intermittent,Player14,0.6,0.0,12.6,10.1,0.0,0
903,First-game 9vs9,Player16,0.4,0.0,6.9,7.5,0.0,0
904,Second-game 9vs9,Player16,0.2,0.0,3.8,3.4,6.7,0
905,Second-intermitten,Player16,1.3,0.0,26.0,0.0,0.0,0
906,Warm-up,Player16,,0.0,0.0,0.0,0.0,0
907,Session,Player16,3.0,56.3,75.2,31.1,70.2,0
908,Possession-game 6v,Player16,0.2,0.0,4.6,4.3,0.0,0
909,First-intermittent,Player16,1.4,0.0,27.3,0.0,0.0,0
910,Third-intermittent,Player19,0.7,0.0,13.1,0.0,0.0,0
911,First-intermittent,Player19,1.3,0.0,23.3,9.6,37.8,0
912,Session,Player19,3.5,35.4,81.0,57.3,89.5,0
913,Second-intermitten,Player19,1.0,0.0,19.8,0.0,0.0,0
914,Possession-game 6v,Player19,0.3,0.0,4.6,6.5,0.0,0
915,Warm-up,Player19,0.1,0.0,0.0,1.7,0.0,0
916,Second-game 9vs9,Player19,0.4,0.0,6.3,10.2,0.0,0
917,First-game 9vs9,Player19,0.4,0.0,6.2,9.1,7.1,0
918,Second-intermitten,Player24,1.0,0.0,19.7,0.0,0.0,0
919,Possession-game 6v,Player24,0.3,0.0,3.8,8.3,0.0,0
920,Warm-up,Player24,0.2,0.0,1.1,4.7,0.0,0
921,First-game 9vs9,Player24,1.0,0.0,6.9,26.4,0.0,0
922,Third-intermittent,Player24,0.6,0.0,13.9,11.1,0.0,0
923,Session,Player24,3.6,47.1,83.9,78.2,75.0,0
924,First-intermittent,Player24,1.1,0.0,24.0,9.8,28.6,0
925,Second-game 9vs9,Player24,0.6,0.0,6.2,14.8,0.0,0
926,Session,Player25,3.6,45.0,97.8,37.6,86.3,0
927,First-game 9vs9,Player25,0.6,0.0,17.1,10.6,9.1,0
928,Possession-game 6v,Player25,0.6,0.0,12.2,13.2,7.4,0
